timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652793770874,1268,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-19,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,1235
1652793771902,303,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-70,text,false,Test failed: text expected to contain /Shop de look/,2865,0,107,107,https://www.bol.com/nl/nl/,0,0,282
1652793770773,1361,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-6,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,1332
1652793772477,77,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-127,text,false,Test failed: text expected to contain /Shop de look/,2865,0,132,132,https://www.bol.com/nl/nl/,0,0,68
1652793772296,42,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-115,text,false,Test failed: text expected to contain /Shop de look/,2865,0,117,117,https://www.bol.com/nl/nl/,0,0,38
1652793772205,71,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-108,text,false,Test failed: text expected to contain /Shop de look/,2865,0,113,113,https://www.bol.com/nl/nl/,0,0,65
1652793771480,662,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-59,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,632
1652793771940,211,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-83,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,186
1652793772537,64,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-131,text,false,Test failed: text expected to contain /Shop de look/,2865,0,135,135,https://www.bol.com/nl/nl/,0,0,58
1652793771047,1170,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-31,text,false,Test failed: text expected to contain /Shop de look/,2865,0,109,109,https://www.bol.com/nl/nl/,0,0,1159
1652793772176,105,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-106,text,false,Test failed: text expected to contain /Shop de look/,2865,0,114,114,https://www.bol.com/nl/nl/,0,0,100
1652793772268,47,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-113,text,false,Test failed: text expected to contain /Shop de look/,2865,0,116,116,https://www.bol.com/nl/nl/,0,0,42
1652793771353,789,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-52,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,756
1652793772510,91,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-129,text,false,Test failed: text expected to contain /Shop de look/,2865,0,135,135,https://www.bol.com/nl/nl/,0,0,85
1652793772357,48,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-119,text,false,Test failed: text expected to contain /Shop de look/,2865,0,122,122,https://www.bol.com/nl/nl/,0,0,43
1652793771380,845,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-54,text,false,Test failed: text expected to contain /Shop de look/,2865,0,109,109,https://www.bol.com/nl/nl/,0,0,835
